"","trait","h2_estimate","is_heritable","dataset","simple_name"
"188","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae",0.328107313,"heritable","Yatsunenko 2012","f_Fusobacteriaceae"
"189","k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae",0.413234123,"heritable","Yatsunenko 2012","f_Gemellaceae"
"190","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae",0.217218039,"NS","Goodrich 2014","f_Lachnospiraceae"
"191","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae",0.285689456,"NS","Turnbaugh 2009","f_Lachnospiraceae"
"192","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae",1.81e-09,"NS","Yatsunenko 2012","f_Lachnospiraceae"
"193","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae",6.13e-12,"NS","Goodrich 2014","f_Lactobacillaceae"
"194","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae",0.343433103,"NS","Yatsunenko 2012","f_Lactobacillaceae"
"195","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae",2.3e-15,"NS","Yatsunenko 2012","f_Leuconostocaceae"
"196","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae",0.229821271,"NS","Goodrich 2014","f_Methanobacteriaceae"
"197","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae",0.23615634,"NS","Yatsunenko 2012","f_Methanobacteriaceae"
"198","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae",0.425503797,"heritable","Yatsunenko 2012","f_Micrococcaceae"
"199","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.",9.38e-15,"NS","Goodrich 2014","f_Mogibacteriaceae"
"200","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.",0.127405403,"NS","Turnbaugh 2009","f_Mogibacteriaceae"
"201","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.",0.16158947,"NS","Yatsunenko 2012","f_Mogibacteriaceae"
"202","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae",0,"NS","Yatsunenko 2012","f_Moraxellaceae"
"203","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae",0.387140618,"NS","Yatsunenko 2012","f_Neisseriaceae"
