"","trait","h2_estimate","is_heritable","dataset"
"3404","4481861",5.25e-44,"NS","Goodrich_2014_Yatsunenko"
"3405","44827",1.1e-14,"NS","Goodrich_2014_Yatsunenko"
"3406","4482983",0,"NS","Goodrich_2014_Yatsunenko"
"3407","4483037",3.79e-13,"NS","Goodrich_2014_Yatsunenko"
"3408","4483046",1e-15,"NS","Goodrich_2014_Yatsunenko"
"3409","4483337",2.01e-10,"NS","Goodrich_2014_TwinsUK"
"3410","4483337",4.14e-18,"NS","Goodrich_2014_Yatsunenko"
"3411","4483391",0.352534088,"NS","Goodrich_2014_Yatsunenko"
"3412","4483392",5e-14,"NS","Goodrich_2014_Yatsunenko"
"3413","4483570",7.95e-13,"NS","Goodrich_2014_Yatsunenko"
"3414","4483585",0.031715232,"NS","Goodrich_2014_Yatsunenko"
"3415","4484075",0.128647099,"NS","Goodrich_2014_TwinsUK"
"3416","4484075",0.604125944,"NS","Goodrich_2014_Yatsunenko"
"3417","454363",0.477116707,"NS","Goodrich_2014_Yatsunenko"
"3418","454921",0.216282093,"NS","Goodrich_2014_Yatsunenko"
"3419","470117",1.06e-25,"NS","Goodrich_2014_Yatsunenko"
"3420","471180",0.423550313,"NS","Goodrich_2014_Yatsunenko"
"3421","47477",1.81e-13,"NS","Goodrich_2014_Yatsunenko"
"3422","48084",1.3e-12,"NS","Goodrich_2014_TwinsUK"
"3423","48084",0.123739269,"NS","Goodrich_2014_Yatsunenko"
"3424","495451",0.080476282,"NS","Goodrich_2014_Yatsunenko"
"3425","499109",0.356070117,"heritable","Goodrich_2014_Yatsunenko"
"3426","503372",2e-13,"NS","Goodrich_2014_Yatsunenko"
"3427","505670",0.023949485,"NS","Goodrich_2014_Yatsunenko"
"3428","50757",0.476845201,"NS","Goodrich_2014_Yatsunenko"
"3429","508788",9.8e-12,"NS","Goodrich_2014_Yatsunenko"
"3430","508968",0.323351281,"NS","Goodrich_2014_Yatsunenko"
"3431","509070",2.87e-10,"NS","Goodrich_2014_Yatsunenko"
"3432","509709",8.37e-16,"NS","Goodrich_2014_Yatsunenko"
"3433","509723",0.017264618,"NS","Goodrich_2014_Yatsunenko"
"3434","510524",4.45e-26,"NS","Goodrich_2014_Yatsunenko"
"3435","510777",0.435726113,"NS","Goodrich_2014_Yatsunenko"
"3436","510870",0.144554541,"NS","Goodrich_2014_Yatsunenko"
"3437","511008",0.261339167,"NS","Goodrich_2014_Yatsunenko"
"3438","511234",0.123964825,"NS","Goodrich_2014_Yatsunenko"
"3439","512114",2.09e-14,"NS","Goodrich_2014_Yatsunenko"
"3440","513685",1.46e-25,"NS","Goodrich_2014_Yatsunenko"
"3441","514272",6.76e-15,"NS","Goodrich_2014_Yatsunenko"
"3442","514523",0,"NS","Goodrich_2014_Yatsunenko"
"3443","514533",0.393617878,"NS","Goodrich_2014_Yatsunenko"
"3444","514940",1.89e-12,"NS","Goodrich_2014_Yatsunenko"
"3445","515575",0.208961338,"NS","Goodrich_2014_Yatsunenko"
"3446","516553",0.386008783,"NS","Goodrich_2014_Yatsunenko"
"3447","517583",9.68e-15,"NS","Goodrich_2014_Yatsunenko"
"3448","518016",0.277824733,"NS","Goodrich_2014_Yatsunenko"
"3449","518040",2.28e-13,"NS","Goodrich_2014_Yatsunenko"
"3450","518372",0.213589425,"NS","Goodrich_2014_Yatsunenko"
"3451","518438",0.311103297,"NS","Goodrich_2014_Yatsunenko"
"3452","518538",0.302171971,"NS","Goodrich_2014_Yatsunenko"
"3453","518613",0.519466059,"NS","Goodrich_2014_Yatsunenko"
"3454","518748",0.318758904,"NS","Goodrich_2014_Yatsunenko"
"3455","519680",2.13e-12,"NS","Goodrich_2014_Yatsunenko"
"3456","519880",2.97e-16,"NS","Goodrich_2014_Yatsunenko"
"3457","520413",0.131615764,"NS","Goodrich_2014_Yatsunenko"
"3458","520836",0,"NS","Goodrich_2014_Yatsunenko"
"3459","52106",0.016381566,"NS","Goodrich_2014_Yatsunenko"
"3460","521496",0.250485684,"NS","Goodrich_2014_Yatsunenko"
"3461","521792",0.585742813,"NS","Goodrich_2014_Yatsunenko"
"3462","522398",0.252268322,"NS","Goodrich_2014_Yatsunenko"
"3463","522433",5.36e-16,"NS","Goodrich_2014_Yatsunenko"
"3464","522511",0.136001194,"NS","Goodrich_2014_Yatsunenko"
"3465","523025",0.466740175,"heritable","Goodrich_2014_Yatsunenko"
"3466","523064",0.259922049,"NS","Goodrich_2014_Yatsunenko"
"3467","523768",0.139440282,"NS","Goodrich_2014_Yatsunenko"
